"SYSTEM", "1", "SYSTEM", "System Start", " "
"Thread-1", "130", "MultipleClientProtocolServer.java:113", "Line Step", " file=MultipleClientProtocolServer.java, line=113"
"Thread-1", "131", "MultipleClientProtocolServer.java:114", "Line Step", " file=MultipleClientProtocolServer.java, line=114"
"Thread-1", "132", "MultipleClientProtocolServer.java:81", "Line Step", " file=MultipleClientProtocolServer.java, line=81"
"Thread-1", "133", "MultipleClientProtocolServer.java:81", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "134", "MultipleClientProtocolServer.java:81", "Variable Write", " context=ClientHandler:2#run:2, dos=java.io.DataOutputStream (id=88)"
"Thread-1", "135", "MultipleClientProtocolServer.java:82", "Line Step", " file=MultipleClientProtocolServer.java, line=82"
"Thread-1", "136", "MultipleClientProtocolServer.java:82", "Variable Delete", " method=ClientHandler:2#run:2 <name=dis,type=java.io.DataInputStream (unresolved),value=java.io.DataInputStream (id=89),index=3>"
"Thread-1", "137", "MultipleClientProtocolServer.java:86", "Line Step", " file=MultipleClientProtocolServer.java, line=86"
"Thread-1", "138", "MultipleClientProtocolServer.java:86", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "139", "MultipleClientProtocolServer.java:86", "Variable Write", " context=ClientHandler:2#run:2, dis=java.io.DataInputStream (id=89)"
"Thread-1", "140", "MultipleClientProtocolServer.java:87", "Line Step", " file=MultipleClientProtocolServer.java, line=87"
"Thread-1", "141", "MultipleClientProtocolServer.java:87", "Variable Write", " context=ClientHandler:2#run:2, received=""Exit"""
"Thread-1", "142", "MultipleClientProtocolServer.java:89", "Line Step", " file=MultipleClientProtocolServer.java, line=89"
"Thread-1", "143", "MultipleClientProtocolServer.java:91", "Line Step", " file=MultipleClientProtocolServer.java, line=91"
"Thread-1", "144", "MultipleClientProtocolServer.java:91", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "145", "MultipleClientProtocolServer.java:92", "Line Step", " file=MultipleClientProtocolServer.java, line=92"
"Thread-1", "146", "MultipleClientProtocolServer.java:92", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "147", "MultipleClientProtocolServer.java:92", "Variable Write", " context=ClientHandler:2#run:2, sock=""Socket[addr=/127.0.0.1,port=50860,localport=5056]"""
"Thread-1", "148", "MultipleClientProtocolServer.java:93", "Line Step", " file=MultipleClientProtocolServer.java, line=93"
"Thread-1", "149", "MultipleClientProtocolServer.java:94", "Line Step", " file=MultipleClientProtocolServer.java, line=94"
"Thread-1", "150", "MultipleClientProtocolServer.java:94", "Field Read", " context=ClientHandler:2, s"
"Thread-1", "151", "MultipleClientProtocolServer.java:95", "Line Step", " file=MultipleClientProtocolServer.java, line=95"
"Thread-1", "152", "MultipleClientProtocolServer.java:96", "Line Step", " file=MultipleClientProtocolServer.java, line=96"
"Thread-1", "153", "MultipleClientProtocolServer.java:136", "Line Step", " file=MultipleClientProtocolServer.java, line=136"
"Thread-1", "154", "MultipleClientProtocolServer.java:136", "Method Exit", " returner=ClientHandler:2#run:2, value=<void>"
"Thread-1", "155", "MultipleClientProtocolServer.java:81", "Method Returned", " "
"Thread-1", "156", "SYSTEM", "Thread End", " "
"Thread-0", "157", "MultipleClientProtocolServer.java:87", "Variable Write", " context=ClientHandler:1#run:1, received=""Exit"""
"Thread-0", "158", "MultipleClientProtocolServer.java:89", "Line Step", " file=MultipleClientProtocolServer.java, line=89"
"Thread-0", "159", "MultipleClientProtocolServer.java:91", "Line Step", " file=MultipleClientProtocolServer.java, line=91"
"Thread-0", "160", "MultipleClientProtocolServer.java:91", "Field Read", " context=ClientHandler:1, s"
"Thread-0", "161", "MultipleClientProtocolServer.java:92", "Line Step", " file=MultipleClientProtocolServer.java, line=92"
"Thread-0", "162", "MultipleClientProtocolServer.java:92", "Field Read", " context=ClientHandler:1, s"
"Thread-0", "163", "MultipleClientProtocolServer.java:92", "Variable Write", " context=ClientHandler:1#run:1, sock=""Socket[addr=/127.0.0.1,port=50856,localport=5056]"""
"Thread-0", "164", "MultipleClientProtocolServer.java:93", "Line Step", " file=MultipleClientProtocolServer.java, line=93"
"Thread-0", "165", "MultipleClientProtocolServer.java:94", "Line Step", " file=MultipleClientProtocolServer.java, line=94"
"Thread-0", "166", "MultipleClientProtocolServer.java:94", "Field Read", " context=ClientHandler:1, s"
"Thread-0", "167", "MultipleClientProtocolServer.java:95", "Line Step", " file=MultipleClientProtocolServer.java, line=95"
"Thread-0", "168", "MultipleClientProtocolServer.java:96", "Line Step", " file=MultipleClientProtocolServer.java, line=96"
"Thread-0", "169", "MultipleClientProtocolServer.java:136", "Line Step", " file=MultipleClientProtocolServer.java, line=136"
"Thread-0", "170", "MultipleClientProtocolServer.java:136", "Method Exit", " returner=ClientHandler:1#run:1, value=<void>"
"Thread-0", "171", "MultipleClientProtocolServer.java:81", "Method Returned", " "
"Thread-0", "172", "SYSTEM", "Thread End", " "
